,Year,Adjusted_Total,Runtime(Mins),Censor,Total_Gross,main_genre,side_genre,dir_numeric,Value,Rating
62,1982,183.62694300518135,116,1,177.2,2,5.7,91.18285714285712,96.5,7.4
63,2013,182.29537987147134,146,4,424.67,6,3.8,211.64000000000001,232.95708333333332,7.5
64,2001,178.20406626506028,178,1,315.54,6,5.2,164.73624999999998,177.06666666666663,8.8
65,2012,177.70941230658332,142,4,408.01,6,3.8,145.96800000000002,229.5939166666667,7.2
66,1999,176.20291160138072,107,16,293.51,5,9.7,126.71875,166.57500000000002,8.2
67,2013,175.57311164252357,130,4,409.01,6,3.8,125.1325,232.95708333333332,7.1
68,1974,175.02112557039038,106,16,86.3,2,2.9,46.03000000000001,49.30833333333334,8.0
69,1984,173.14615754853202,118,19,179.87,6,3.0,138.73962962962963,103.88333333333333,7.5
70,2002,172.7199444058374,142,4,310.68,6,3.7,267.61,179.875,6.6
71,1967,169.9725206095428,108,0,56.7,2,5.0,51.5,33.35833333333334,7.8
72,2019,169.77406940081602,100,1,434.04,0,2.2,434.04,255.65741666666668,7.7
73,2011,169.38357407743575,130,4,381.01,3,7.1,279.51800000000003,224.93916666666667,8.1
74,2017,168.30968557863764,141,4,412.56,6,3.7,164.46666666666667,245.11958333333334,7.4
75,1990,166.56419414503475,127,16,217.63,5,7.3,103.95,130.65833333333333,7.1
76,2018,166.35150643052987,128,4,417.72,6,3.8,111.91000000000001,251.10683333333338,6.1
77,2003,166.02129105322766,143,4,305.41,6,3.7,152.93800000000002,183.95833333333334,8.1
78,2017,165.02965389342276,119,4,404.52,6,2.2,153.25499999999997,245.11958333333334,6.9
79,1964,164.6856528747985,110,16,51.08,6,8.54,37.8125,31.016666666666666,7.7
80,1986,164.0386223675207,110,1,179.8,6,5.0,67.63933333333333,109.60833333333335,6.9
81,1978,162.49361267245783,114,16,106.0,6,2.0,76.1,65.23333333333333,6.3
82,2007,162.3063941330544,139,4,336.53,6,3.8,124.726,207.3424166666667,6.3
83,1986,159.3309511138143,97,1,174.64,6,2.2,174.64,109.60833333333335,6.6
84,1989,159.0508201129336,127,1,197.17,6,3.0,138.73962962962963,123.96666666666665,8.2
85,2017,159.02850139472739,136,4,389.81,6,2.2,157.38000000000002,245.11958333333334,7.6
86,1970,158.91822279459114,172,1,61.7,1,5.9,44.656666666666666,38.824999999999996,7.9
87,2011,156.6601340362394,154,4,352.39,6,3.8,178.96230769230772,224.93916666666667,6.2
88,1997,156.17692866784344,98,4,250.69,6,2.2,130.02125,160.51666666666665,7.3
89,1977,155.44067097483844,118,1,94.21,5,0.5,55.62,60.60833333333333,6.8
90,1996,154.10902135798537,113,4,241.72,6,8.54,113.72999999999999,156.84999999999997,6.4
91,2007,153.9723541050653,144,4,319.25,6,3.8,178.96230769230772,207.3424166666667,7.0
92,2016,153.48463195436878,87,4,368.38,0,2.2,368.38,240.01099999999997,6.5
93,2010,153.25914732717126,108,1,334.19,3,7.1,105.07529411764706,218.05550000000002,6.4
94,2019,152.7552007259715,129,1,390.53,6,3.8,382.40250000000003,255.65741666666668,7.4
95,1993,151.73925584078455,125,1,219.2,2,5.0,119.69,144.45833333333331,7.1
96,2016,151.65971559636853,106,4,364.0,3,5.1,234.0025,240.01099999999997,7.4
97,2016,151.2722333559712,108,18,363.07,6,2.2,212.66,240.01099999999997,8.0
98,1988,151.19441899795646,133,1,178.8,5,5.0,55.821538461538466,118.25833333333333,8.0
99,1963,151.18367346938774,210,0,46.3,6,2.2,51.5,30.625,7.5
100,2000,151.0104529616725,104,1,260.04,2,7.1,95.35095238095236,172.19999999999996,6.2
101,1991,150.40567827204308,137,16,204.84,6,7.5,278.42571428571426,136.19166666666666,8.6
102,2007,149.2314042511803,169,4,309.42,6,3.7,152.93800000000002,207.3424166666667,7.1
103,2015,148.93868372310845,137,16,353.01,6,10.8,127.54222222222221,237.01700000000002,7.1
104,2005,148.5009601024109,157,4,290.01,3,7.1,91.27499999999999,195.2916666666667,7.7
105,1962,148.16528925619835,218,1,44.82,3,1.2,78.27,30.249999999999996,8.3
106,2014,147.8988212616436,133,16,350.13,6,1.2,62.776666666666664,236.73616666666666,7.3
107,2008,147.88959719464475,126,4,318.41,6,3.8,234.0025,215.3025,7.9
108,2004,147.84787787876112,115,16,279.26,2,5.5,121.71333333333334,188.88333333333335,6.3
109,1987,147.66116611661167,102,1,167.78,2,5.1,117.98666666666668,113.625,6.1
110,2008,147.2811509387954,122,1,317.1,6,3.0,138.73962962962963,215.3025,6.2
111,1979,146.41405442645538,105,1,106.26,5,5.0,55.82,72.575,7.8
112,2002,145.6511466296039,161,1,261.99,3,7.1,119.69,179.875,7.4
113,2010,143.2800365044679,124,4,312.43,6,3.8,234.0025,218.05550000000002,6.9
114,1997,142.72038209947047,129,4,229.09,6,3.8,138.73962962962963,160.51666666666665,6.5
115,1984,142.6311567463501,106,4,148.17,2,7.7,66.335,103.88333333333333,7.3
